frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=21c65a0 assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=on terrain=1888 trees=259 dwarves=5
145,1748.205,18.023,1888,259,5,0,0
146,1765.466,17.261,1888,259,5,0,0
147,1782.777,17.312,1888,259,5,0,0
148,1800.226,17.449,1888,259,5,0,0
149,1817.486,17.260,1888,259,5,0,0
150,1836.160,18.674,1888,259,5,0,0
151,1853.455,17.295,1888,259,5,0,0
152,1872.543,19.088,1888,259,5,0,0
153,1888.560,16.017,1888,259,5,0,0
154,1906.323,17.763,1888,259,5,0,0
155,1924.319,17.995,1888,259,5,0,0
156,1941.646,17.327,1888,259,5,0,0
157,1959.479,17.833,1888,259,5,0,0
158,1977.187,17.708,1888,259,5,0,0
159,1993.734,16.546,1888,259,5,0,0
160,2011.435,17.701,1888,259,5,0,0
161,2028.689,17.254,1888,259,5,0,0
162,2045.305,16.616,1888,259,5,0,0
163,2063.911,18.606,1888,259,5,0,0
164,2080.925,17.014,1888,259,5,0,0
165,2098.724,17.799,1888,259,5,0,0
166,2115.611,16.887,1888,259,5,0,0
167,2133.559,17.948,1888,259,5,0,0
168,2150.645,17.086,1888,259,5,0,0
169,2167.441,16.796,1888,259,5,0,0
170,2184.628,17.187,1888,259,5,0,0
171,2201.417,16.789,1888,259,5,0,0
172,2231.040,29.623,1888,259,5,0,0
173,2235.096,4.056,1888,259,5,0,0
174,2267.061,31.965,1888,259,5,0,0
175,2271.383,4.322,1888,259,5,0,0
176,2287.617,16.234,1888,259,5,0,0
177,2304.115,16.499,1888,259,5,0,0
178,2322.372,18.257,1888,259,5,0,0
179,2339.419,17.047,1888,259,5,0,0
180,2356.425,17.005,1888,259,5,0,0
181,2372.991,16.567,1888,259,5,0,0
182,2390.411,17.420,1888,259,5,0,0
183,2406.626,16.215,1888,259,5,0,0
184,2436.895,30.268,1888,259,5,0,0
185,2453.533,16.638,1888,259,5,0,0
186,2457.775,4.243,1888,259,5,0,0
187,2475.588,17.812,1888,259,5,0,0
188,2492.266,16.679,1888,259,5,0,0
189,2508.430,16.163,1888,259,5,0,0
190,2526.020,17.590,1888,259,5,0,0
191,2542.322,16.302,1888,259,5,0,0
192,2558.341,16.019,1888,259,5,0,0
193,2575.825,17.484,1888,259,5,0,0
194,2593.039,17.214,1888,259,5,0,0
195,2609.930,16.891,1888,259,5,0,0
196,2627.593,17.663,1888,259,5,0,0
197,2644.405,16.811,1888,259,5,0,0
198,2661.949,17.544,1888,259,5,0,0
199,2680.306,18.358,1888,259,5,0,0
200,2697.160,16.854,1888,259,5,0,0
201,2714.387,17.227,1888,259,5,0,0
202,2732.893,18.505,1888,259,5,0,0
203,2763.902,31.009,1888,259,5,0,0
204,2769.036,5.134,1888,259,5,0,0
205,2784.863,15.827,1888,259,5,0,0
206,2803.403,18.540,1888,259,5,0,0
207,2821.371,17.968,1888,259,5,0,0
208,2838.390,17.020,1888,259,5,0,0
209,2854.441,16.050,1888,259,5,0,0
210,2873.059,18.619,1888,259,5,0,0
211,2892.113,19.054,1888,259,5,0,0
212,2906.939,14.826,1888,259,5,0,0
213,2925.531,18.592,1888,259,5,0,0
214,2942.803,17.272,1888,259,5,0,0
215,2959.182,16.378,1888,259,5,0,0
216,2977.094,17.912,1888,259,5,0,0
217,2993.698,16.604,1888,259,5,0,0
218,3011.260,17.562,1888,259,5,0,0
219,3041.148,29.887,1888,259,5,0,0
220,3045.838,4.691,1888,259,5,0,0
221,3064.181,18.343,1888,259,5,0,0
222,3093.471,29.290,1888,259,5,0,0
223,3098.444,4.973,1888,259,5,0,0
224,3115.702,17.258,1888,259,5,0,0
225,3132.249,16.547,1888,259,5,0,0
226,3161.974,29.725,1888,259,5,0,0
227,3166.522,4.548,1888,259,5,0,0
228,3183.805,17.284,1888,259,5,0,0
229,3202.332,18.527,1888,259,5,0,0
230,3218.507,16.175,1888,259,5,0,0
231,3235.981,17.474,1888,259,5,0,0
232,3253.022,17.041,1888,259,5,0,0
233,3269.322,16.300,1888,259,5,0,0
234,3286.133,16.811,1888,259,5,0,0
235,3303.940,17.807,1888,259,5,0,0
236,3320.223,16.284,1888,259,5,0,0
237,3350.053,29.830,1888,259,5,0,0
238,3354.763,4.711,1888,259,5,0,0
239,3372.245,17.482,1888,259,5,0,0
240,3388.904,16.659,1888,259,5,0,0
241,3407.481,18.577,1888,259,5,0,0
242,3423.782,16.300,1888,259,5,0,0
243,3440.344,16.562,1888,259,5,0,0
244,3457.216,16.872,1888,259,5,0,0
245,3475.247,18.031,1888,259,5,0,0
246,3492.752,17.505,1888,259,5,0,0
247,3508.779,16.027,1888,259,5,0,0
248,3526.418,17.639,1888,259,5,0,0
249,3542.701,16.284,1888,259,5,0,0
250,3560.496,17.794,1888,259,5,0,0
251,3577.170,16.674,1888,259,5,0,0
252,3594.137,16.967,1888,259,5,0,0
253,3612.694,18.557,1888,259,5,0,0
254,3628.985,16.291,1888,259,5,0,0
255,3646.183,17.198,1888,259,5,0,0
256,3664.384,18.201,1888,259,5,0,0
257,3682.014,17.630,1888,259,5,0,0
258,3697.986,15.972,1888,259,5,0,0
259,3715.779,17.794,1888,259,5,0,0
260,3732.519,16.740,1888,259,5,0,0
261,3751.048,18.529,1888,259,5,0,0
262,3768.254,17.206,1888,259,5,0,0
