frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=5cd523c assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=off terrain=1888 trees=259 dwarves=5
147,601.202,3.405,1888,259,5,0,0
148,604.747,3.545,1888,259,5,0,0
149,608.434,3.687,1888,259,5,0,0
150,612.101,3.667,1888,259,5,0,0
151,615.361,3.260,1888,259,5,0,0
152,618.783,3.421,1888,259,5,0,0
153,622.025,3.242,1888,259,5,0,0
154,625.301,3.276,1888,259,5,0,0
155,628.646,3.345,1888,259,5,0,0
156,632.164,3.518,1888,259,5,0,0
157,635.382,3.218,1888,259,5,0,0
158,638.996,3.614,1888,259,5,0,0
159,642.974,3.978,1888,259,5,0,0
160,646.223,3.250,1888,259,5,0,0
161,649.549,3.325,1888,259,5,0,0
162,656.992,7.443,1888,259,5,0,0
163,659.634,2.642,1888,259,5,0,0
164,663.294,3.660,1888,259,5,0,0
165,667.153,3.859,1888,259,5,0,0
166,701.963,34.809,1888,259,5,0,0
