frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=5cd523c assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=off terrain=1888 trees=259 dwarves=5
147,591.812,3.906,1888,259,5,0,0
148,595.728,3.915,1888,259,5,0,0
149,599.161,3.434,1888,259,5,0,0
150,602.897,3.736,1888,259,5,0,0
151,606.454,3.557,1888,259,5,0,0
152,610.029,3.575,1888,259,5,0,0
153,613.760,3.731,1888,259,5,0,0
154,618.260,4.500,1888,259,5,0,0
155,620.652,2.392,1888,259,5,0,0
156,624.231,3.579,1888,259,5,0,0
157,627.847,3.616,1888,259,5,0,0
158,631.335,3.488,1888,259,5,0,0
159,634.640,3.304,1888,259,5,0,0
160,637.999,3.359,1888,259,5,0,0
161,641.359,3.360,1888,259,5,0,0
162,649.315,7.956,1888,259,5,0,0
163,652.152,2.837,1888,259,5,0,0
164,656.738,4.586,1888,259,5,0,0
165,660.182,3.443,1888,259,5,0,0
166,693.830,33.649,1888,259,5,0,0
